K-on,celebrate,https://media.tenor.com/images/0588963747d633be3753fd5032c6ce13/tenor.gif
Tamako Market,insult,https://media.giphy.com/media/4QxQgWZHbeYwM/giphy.gif
Kaguya-sama wa Kokurasetai,celebrate,https://media.tenor.com/images/06f2513f98d815bfc9149179f7f37259/tenor.gif
Shinryaku! Ika Musume,crying,https://i.pinimg.com/originals/d6/48/c4/d648c410878fa7cc00ab5fd8bea713b3.gif
Yuru Yuri,eating,https://imgur.com/uB35ORX.gif
GochiUsa,celebrate,https://49.media.tumblr.com/d304a627de8199be92f8aeded8ffc91d/tumblr_nxmitgfJTY1rmf97co1_500.gif
Miss Kobayashi's Dragon Maid,eating,https://media1.tenor.com/images/aa94097e87f4386322b9609da96676d6/tenor.gif?itemid=8294804
Noragami,eating,https://media.giphy.com/media/xYy3O2fGTfflS/giphy.gif
Clannad,eating,https://media.giphy.com/media/moeMypqJLoS2s/giphy.gif
Ponyo,eating,https://66.media.tumblr.com/6afdf6a0cafd374b1adaf8157799209e/tumblr_osqveeJ4UC1qzxv73o1_540.gif
Yuru Yuri,eating,https://gifimage.net/wp-content/uploads/2017/11/eating-anime-gif-9.gif
Spirited Away,eating,https://66.media.tumblr.com/46d02caceed413e8d4a94dc6a397aedf/tumblr_ot6fzs9VFr1uxvvvzo1_400.gif
Nichijou,fail,https://media1.tenor.com/images/ca6180262fb95f373e2808f75effecb1/tenor.gif?itemid=5631139
Nichijou,attack,https://thumbs.gfycat.com/AllValuableJuliabutterfly-size_restricted.gif
Nichijou,love,https://i.gifer.com/QhdQ.gif
Nichijou,attack,https://data.whicdn.com/images/246943076/original.gif
Nichijou,fail,https://24.media.tumblr.com/a4f4c72048838edb3a01176dbd373285/tumblr_mkhe65E8if1r8tyjfo1_500.gif
Nichijou,bored,https://i.pinimg.com/originals/43/a7/a4/43a7a4a7f681bc92671bad2b7bcdf21f.gif
Toradora,bored,https://i.imgur.com/EzAWv47.gif
Yuyushiki,bored,https://mrwgifs.com/wp-content/uploads/2014/05/Bored-Girl-In-Yuyushiki-Anime-Playing-With-a-Computer-Screen.gif
Lucky Star,bored,https://media1.giphy.com/media/ASpfgIKxGtrHi/source.gif
Shirokuma Cafe,bored,https://data.whicdn.com/images/191120579/original.gif
Miss Kobayashi's Dragon Maid,thumbs up,https://media.tenor.com/images/e6561660fd1600c893c6f899678a9836/tenor.gif
Wakaba Girl,thumbs up,https://i.gifer.com/Ojj8.gif
Porco Rosso,thumbs up,https://24.media.tumblr.com/tumblr_llko428Rip1qehmh1o1_500.gif
Yuru Yuri,thumbs up,https://adventuresofclumsyrella.files.wordpress.com/2018/04/anime-thumbs-up-gif-25.gif?w=367
KonoSuba,thumbs up,https://i.gifer.com/5HhN.gif
Lucky Star,thumbs up,https://i.gifer.com/XluS.gif
Kiniro Mosaic,love,https://gifimage.net/wp-content/uploads/2018/11/cute-anime-girl-hug-gif-3.gif
GochiUsa,fail,https://cdn48.picsart.com/173622129002202.gif
GochiUsa,bored,https://i.pinimg.com/originals/ba/b3/9d/bab39de2e95b92fe1245835c34fbdd9f.gif
Love Lab,attack,https://data.whicdn.com/images/272774695/original.gif
Barakamon,attack,https://giphy.com/gifs/50k273EVjZjNK/html5
Acchi Kocchi,eating,https://31.media.tumblr.com/b7bba9fdfb521e5fbd26a53c9092de43/tumblr_mruj12y6TL1r922azo1_500.gif
Acchi Kocchi,attack,https://lenarosaliefrances.files.wordpress.com/2014/08/pedobear_acchi_kocchi_584.gif
Chuunibyou,fail,https://i.pinimg.com/originals/24/04/c9/2404c907f1daaa77a07eb8ca97554ecd.gif
